"","BUYER_COUNTY","BUYER_STATE","year","count","DOSAGE_UNIT","countyfips"
"1","ABBEVILLE","SC",2006,877,363620,"45001"
"2","ABBEVILLE","SC",2007,908,402940,"45001"
"3","ABBEVILLE","SC",2008,871,424590,"45001"
"4","ABBEVILLE","SC",2009,930,467230,"45001"
"5","ABBEVILLE","SC",2010,1197,539280,"45001"
"6","ABBEVILLE","SC",2011,1327,566560,"45001"
"7","ABBEVILLE","SC",2012,1509,589010,"45001"
"8","ABBEVILLE","SC",2013,1572,596420,"45001"
"9","ABBEVILLE","SC",2014,1558,641350,"45001"
"10","ACADIA","LA",2006,5802,1969720,"22001"
"11","ACADIA","LA",2007,5660,2207310,"22001"
"12","ACADIA","LA",2008,5700,2246400,"22001"
"13","ACADIA","LA",2009,6069,2537040,"22001"
"14","ACADIA","LA",2010,6266,2679687,"22001"
"15","ACADIA","LA",2011,6499,2806270,"22001"
"16","ACADIA","LA",2012,7151,2640841,"22001"
"17","ACADIA","LA",2013,7084,2569300,"22001"
"18","ACADIA","LA",2014,5721,2541140,"22001"
"19","ACCOMACK","VA",2006,1410,487300,"51001"
"20","ACCOMACK","VA",2007,1826,614000,"51001"
"21","ACCOMACK","VA",2008,1881,691600,"51001"
"22","ACCOMACK","VA",2009,1825,702600,"51001"
"23","ACCOMACK","VA",2010,2336,800550,"51001"
"24","ACCOMACK","VA",2011,2588,918550,"51001"
"25","ACCOMACK","VA",2012,2510,839370,"51001"
"26","ACCOMACK","VA",2013,2647,809570,"51001"
"27","ACCOMACK","VA",2014,2513,796930,"51001"
"28","ADA","ID",2006,26077,11094634,"16001"
"29","ADA","ID",2007,24750,10826747,"16001"
"30","ADA","ID",2008,26294,11817954,"16001"
"31","ADA","ID",2009,28955,13060799,"16001"
"32","ADA","ID",2010,34885,16145256,"16001"
"33","ADA","ID",2011,36742,18138918,"16001"
"34","ADA","ID",2012,38269,18990097,"16001"
"35","ADA","ID",2013,36855,18305203,"16001"
"36","ADA","ID",2014,37657,18427220,"16001"
"37","ADAIR","IA",2006,349,135525,"19001"
"38","ADAIR","IA",2007,412,159700,"19001"
"39","ADAIR","IA",2008,567,183800,"19001"
"40","ADAIR","IA",2009,716,217900,"19001"
"41","ADAIR","IA",2010,762,222100,"19001"
"42","ADAIR","IA",2011,842,233600,"19001"
"43","ADAIR","IA",2012,811,232420,"19001"
"44","ADAIR","IA",2013,653,203000,"19001"
"45","ADAIR","IA",2014,640,195120,"19001"
"46","ADAIR","KY",2006,1611,694990,"21001"
"47","ADAIR","KY",2007,1804,691730,"21001"
"48","ADAIR","KY",2008,2132,822920,"21001"
"49","ADAIR","KY",2009,2326,897770,"21001"
"50","ADAIR","KY",2010,2809,1033160,"21001"
"51","ADAIR","KY",2011,3137,1212510,"21001"
"52","ADAIR","KY",2012,3033,1189460,"21001"
"53","ADAIR","KY",2013,2955,1153070,"21001"
"54","ADAIR","KY",2014,2178,1087490,"21001"
"55","ADAIR","MO",2006,2564,879240,"29001"
"56","ADAIR","MO",2007,3151,972670,"29001"
"57","ADAIR","MO",2008,3353,1061390,"29001"
"58","ADAIR","MO",2009,3569,1213050,"29001"
"59","ADAIR","MO",2010,4069,1332110,"29001"
"60","ADAIR","MO",2011,4283,1564110,"29001"
"61","ADAIR","MO",2012,4215,1638990,"29001"
"62","ADAIR","MO",2013,4019,1583860,"29001"
"63","ADAIR","MO",2014,2983,1577330,"29001"
"64","ADAIR","OK",2006,1771,504500,"40001"
"65","ADAIR","OK",2007,2167,629600,"40001"
"66","ADAIR","OK",2008,2582,772100,"40001"
"67","ADAIR","OK",2009,2843,886270,"40001"
"68","ADAIR","OK",2010,2925,1027450,"40001"
"69","ADAIR","OK",2011,3320,1229120,"40001"
"70","ADAIR","OK",2012,3150,1238760,"40001"
"71","ADAIR","OK",2013,2591,1211430,"40001"
"72","ADAIR","OK",2014,1937,1100830,"40001"
"73","ADAMS","CO",2006,21926,7797330,"08001"
"74","ADAMS","CO",2007,25592,8682060,"08001"
"75","ADAMS","CO",2008,28572,9949801,"08001"
"76","ADAMS","CO",2009,30587,11083312,"08001"
"77","ADAMS","CO",2010,33100,12211730,"08001"
"78","ADAMS","CO",2011,34205,13476740,"08001"
"79","ADAMS","CO",2012,34503,13647534,"08001"
"80","ADAMS","CO",2013,34691,12151730,"08001"
"81","ADAMS","CO",2014,33395,12865600,"08001"
"82","ADAMS","IA",2006,143,71400,"19003"
"83","ADAMS","IA",2007,167,87500,"19003"
"84","ADAMS","IA",2008,207,93900,"19003"
"85","ADAMS","IA",2009,210,91400,"19003"
"86","ADAMS","IA",2010,133,62400,"19003"
"87","ADAMS","IA",2011,162,60300,"19003"
"88","ADAMS","IA",2012,172,68600,"19003"
"89","ADAMS","IA",2013,193,70400,"19003"
"90","ADAMS","IA",2014,234,70000,"19003"
"91","ADAMS","ID",2006,21,2800,"16003"
"92","ADAMS","ID",2007,13,1900,"16003"
"93","ADAMS","ID",2008,6,1200,"16003"
"94","ADAMS","ID",2009,6,1200,"16003"
"95","ADAMS","ID",2010,7,1400,"16003"
"96","ADAMS","ID",2011,6,1100,"16003"
"97","ADAMS","ID",2012,6,1400,"16003"
"98","ADAMS","IL",2006,4653,1851630,"17001"
"99","ADAMS","IL",2007,5154,2238040,"17001"
"100","ADAMS","IL",2008,5857,2531290,"17001"
"101","ADAMS","IL",2009,6670,2882080,"17001"
"102","ADAMS","IL",2010,7668,3266880,"17001"
"103","ADAMS","IL",2011,8422,3507410,"17001"
"104","ADAMS","IL",2012,7852,3493230,"17001"
"105","ADAMS","IL",2013,7870,3635390,"17001"
"106","ADAMS","IL",2014,6610,3804950,"17001"
"107","ADAMS","IN",2006,1475,434320,"18001"
"108","ADAMS","IN",2007,1806,543000,"18001"
"109","ADAMS","IN",2008,1799,601900,"18001"
"110","ADAMS","IN",2009,1981,688900,"18001"
"111","ADAMS","IN",2010,2213,766770,"18001"
"112","ADAMS","IN",2011,2575,930900,"18001"
"113","ADAMS","IN",2012,2807,999150,"18001"
"114","ADAMS","IN",2013,2760,915000,"18001"
"115","ADAMS","IN",2014,2083,897300,"18001"
"116","ADAMS","MS",2006,5325,1930200,"28001"
"117","ADAMS","MS",2007,5188,2131220,"28001"
"118","ADAMS","MS",2008,5042,2340600,"28001"
"119","ADAMS","MS",2009,4986,2395730,"28001"
"120","ADAMS","MS",2010,5409,2466920,"28001"
"121","ADAMS","MS",2011,5882,2755400,"28001"
"122","ADAMS","MS",2012,5680,2688760,"28001"
"123","ADAMS","MS",2013,5466,2459820,"28001"
"124","ADAMS","MS",2014,3526,2223570,"28001"
"125","ADAMS","ND",2006,339,81900,"38001"
"126","ADAMS","ND",2007,381,102320,"38001"
"127","ADAMS","ND",2008,306,99100,"38001"
"128","ADAMS","ND",2009,334,114200,"38001"
"129","ADAMS","ND",2010,368,115650,"38001"
"130","ADAMS","ND",2011,398,122510,"38001"
"131","ADAMS","ND",2012,358,122590,"38001"
"132","ADAMS","ND",2013,435,132380,"38001"
"133","ADAMS","ND",2014,423,125730,"38001"
"134","ADAMS","NE",2006,2028,563140,"31001"
"135","ADAMS","NE",2007,2326,664320,"31001"
"136","ADAMS","NE",2008,2466,740400,"31001"
"137","ADAMS","NE",2009,2458,809260,"31001"
"138","ADAMS","NE",2010,2689,834173,"31001"
"139","ADAMS","NE",2011,3234,954060,"31001"
"140","ADAMS","NE",2012,3018,971680,"31001"
"141","ADAMS","NE",2013,3078,933100,"31001"
"142","ADAMS","NE",2014,2518,928830,"31001"
"143","ADAMS","OH",2006,3515,1553880,"39001"
"144","ADAMS","OH",2007,3846,1652200,"39001"
"145","ADAMS","OH",2008,4161,1825870,"39001"
"146","ADAMS","OH",2009,4036,1870210,"39001"
"147","ADAMS","OH",2010,4101,1820320,"39001"
"148","ADAMS","OH",2011,3977,1792820,"39001"
"149","ADAMS","OH",2012,3594,1656790,"39001"
"150","ADAMS","OH",2013,3471,1542840,"39001"
"151","ADAMS","OH",2014,3312,1569630,"39001"
"152","ADAMS","PA",2006,5424,1882950,"42001"
"153","ADAMS","PA",2007,5511,2009450,"42001"
"154","ADAMS","PA",2008,5678,2123800,"42001"
"155","ADAMS","PA",2009,6448,2400900,"42001"
"156","ADAMS","PA",2010,7134,2599340,"42001"
"157","ADAMS","PA",2011,7899,2922910,"42001"
"158","ADAMS","PA",2012,8334,3022160,"42001"
"159","ADAMS","PA",2013,8196,2740210,"42001"
"160","ADAMS","PA",2014,6910,2722900,"42001"
"161","ADAMS","WA",2006,1104,370200,"53001"
"162","ADAMS","WA",2007,1176,443500,"53001"
"163","ADAMS","WA",2008,1455,451600,"53001"
"164","ADAMS","WA",2009,1575,521320,"53001"
"165","ADAMS","WA",2010,1822,542500,"53001"
"166","ADAMS","WA",2011,1899,601300,"53001"
"167","ADAMS","WA",2012,2051,609630,"53001"
"168","ADAMS","WA",2013,1750,568500,"53001"
"169","ADAMS","WA",2014,1482,541100,"53001"
"170","ADAMS","WI",2006,1250,349900,"55001"
"171","ADAMS","WI",2007,1493,445200,"55001"
"172","ADAMS","WI",2008,1584,481500,"55001"
"173","ADAMS","WI",2009,1774,515600,"55001"
"174","ADAMS","WI",2010,1941,613200,"55001"
"175","ADAMS","WI",2011,1867,615950,"55001"
"176","ADAMS","WI",2012,1746,626470,"55001"
"177","ADAMS","WI",2013,1686,599800,"55001"
"178","ADAMS","WI",2014,1619,530000,"55001"
"179","ADDISON","VT",2006,2603,745200,"50001"
"180","ADDISON","VT",2007,2644,812600,"50001"
"181","ADDISON","VT",2008,2700,806850,"50001"
"182","ADDISON","VT",2009,2988,837770,"50001"
"183","ADDISON","VT",2010,2792,827380,"50001"
"184","ADDISON","VT",2011,2513,791340,"50001"
"185","ADDISON","VT",2012,2485,719500,"50001"
"186","ADDISON","VT",2013,2603,724930,"50001"
"187","ADDISON","VT",2014,2531,662650,"50001"
"188","ADJUNTAS","PR",2006,147,102800,NA
"189","ADJUNTAS","PR",2007,153,104800,NA
"190","ADJUNTAS","PR",2008,153,45400,NA
"191","ADJUNTAS","PR",2009,184,54200,NA
"192","ADJUNTAS","PR",2010,190,56200,NA
"193","ADJUNTAS","PR",2011,186,65530,NA
"194","ADJUNTAS","PR",2012,138,57330,NA
"195","ADJUNTAS","PR",2013,138,65820,NA
"196","ADJUNTAS","PR",2014,90,59490,NA
"197","AGUADA","PR",2006,160,49200,NA
"198","AGUADA","PR",2007,109,49500,NA
"199","AGUADA","PR",2008,64,38300,NA
"200","AGUADA","PR",2009,83,42500,NA
"201","AGUADA","PR",2010,103,50200,NA
"202","AGUADA","PR",2011,106,53730,NA
"203","AGUADA","PR",2012,98,46690,NA
"204","AGUADA","PR",2013,126,54660,NA
"205","AGUADA","PR",2014,60,38240,NA
"206","AGUADILLA","PR",2006,515,192200,NA
"207","AGUADILLA","PR",2007,496,184800,NA
"208","AGUADILLA","PR",2008,399,163000,NA
"209","AGUADILLA","PR",2009,418,195130,NA
"210","AGUADILLA","PR",2010,511,254490,NA
"211","AGUADILLA","PR",2011,464,257380,NA
"212","AGUADILLA","PR",2012,450,239100,NA
"213","AGUADILLA","PR",2013,460,232190,NA
"214","AGUADILLA","PR",2014,353,206260,NA
"215","AGUAS BUENAS","PR",2006,67,28500,NA
"216","AGUAS BUENAS","PR",2007,58,29400,NA
"217","AGUAS BUENAS","PR",2008,63,28700,NA
"218","AGUAS BUENAS","PR",2009,32,19200,NA
"219","AGUAS BUENAS","PR",2010,48,25600,NA
"220","AGUAS BUENAS","PR",2011,58,25360,NA
"221","AGUAS BUENAS","PR",2012,75,27800,NA
"222","AGUAS BUENAS","PR",2013,86,30660,NA
"223","AGUAS BUENAS","PR",2014,40,26300,NA
"224","AIBONITO","PR",2006,197,154700,NA
"225","AIBONITO","PR",2007,184,168000,NA
"226","AIBONITO","PR",2008,152,145000,NA
"227","AIBONITO","PR",2009,138,122600,NA
"228","AIBONITO","PR",2010,142,146730,NA
"229","AIBONITO","PR",2011,128,162300,NA
"230","AIBONITO","PR",2012,119,203500,NA
"231","AIBONITO","PR",2013,137,200900,NA
"232","AIBONITO","PR",2014,117,224600,NA
"233","AIKEN","SC",2006,10862,3236270,"45003"
"234","AIKEN","SC",2007,12918,4039800,"45003"
"235","AIKEN","SC",2008,15537,4765559,"45003"
"236","AIKEN","SC",2009,16947,5524405,"45003"
"237","AIKEN","SC",2010,19176,6292900,"45003"
"238","AIKEN","SC",2011,20160,6950170,"45003"
"239","AIKEN","SC",2012,20090,7231700,"45003"
"240","AIKEN","SC",2013,19717,7106890,"45003"
"241","AIKEN","SC",2014,15894,6760080,"45003"
"242","AITKIN","MN",2006,1227,357900,"27001"
