"","Areaname","STCOU","LND010190F","LND010190D","LND010190N1","LND010190N2","LND010200F","LND010200D","LND010200N1","LND010200N2","LND110180F","LND110180D","LND110180N1","LND110180N2","LND110190F","LND110190D","LND110190N1","LND110190N2","LND110200F","LND110200D","LND110200N1","LND110200N2","LND110210F","LND110210D","LND110210N1","LND110210N2","LND210190F","LND210190D","LND210190N1","LND210190N2","LND210200F","LND210200D","LND210200N1","LND210200N2"
"1","UNITED STATES","00000",0,3787425.08,"0000","0000",0,3794083.06,"0000","0000",0,3539289.16,"0000","0000",0,3536341.73,"0000","0000",0,3537438.44,"0000","0000",0,3531905.43,"0000","0000",0,251083.35,"0000","0000",0,256644.62,"0000","0000"
"2","ALABAMA","01000",0,52422.94,"0000","0000",0,52419.02,"0000","0000",0,50767.18,"0000","0000",0,50750.23,"0000","0000",0,50744,"0000","0000",0,50645.33,"0000","0000",0,1672.71,"0000","0000",0,1675.01,"0000","0000"
"3","Autauga, AL","01001",0,604.49,"0000","0000",0,604.45,"0000","0000",0,597.04,"0000","0000",0,596.01,"0000","0000",0,595.97,"0000","0000",0,594.44,"0000","0000",0,8.48,"0000","0000",0,8.48,"0000","0000"
"4","Baldwin, AL","01003",0,2027.08,"0000","0000",0,2026.93,"0000","0000",0,1589.42,"0000","0000",0,1596.53,"0000","0000",0,1596.35,"0000","0000",0,1589.78,"0000","0000",0,430.55,"0000","0000",0,430.58,"0000","0000"
"5","Barbour, AL","01005",0,904.59,"0000","0000",0,904.52,"0000","0000",0,883.89,"0000","0000",0,885,"0000","0000",0,884.9,"0000","0000",0,884.88,"0000","0000",0,19.59,"0000","0000",0,19.61,"0000","0000"
"6","Bibb, AL","01007",0,625.5,"0000","0000",0,626.16,"0000","0000",0,624.97,"0000","0000",0,622.36,"0000","0000",0,623.03,"0000","0000",0,622.58,"0000","0000",0,3.14,"0000","0000",0,3.14,"0000","0000"
"7","Blount, AL","01009",0,650.65,"0000","0000",0,650.6,"0000","0000",0,643.3,"0000","0000",0,645.68,"0000","0000",0,645.59,"0000","0000",0,644.78,"0000","0000",0,4.97,"0000","0000",0,5.02,"0000","0000"
"8","Bullock, AL","01011",0,626.11,"0000","0000",0,626.06,"0000","0000",0,624.82,"0000","0000",0,625.07,"0000","0000",0,625.01,"0000","0000",0,622.81,"0000","0000",0,1.04,"0000","0000",0,1.04,"0000","0000"
"9","Butler, AL","01013",0,777.99,"0000","0000",0,777.92,"0000","0000",0,779.14,"0000","0000",0,776.94,"0000","0000",0,776.87,"0000","0000",0,776.83,"0000","0000",0,1.05,"0000","0000",0,1.05,"0000","0000"
"10","Calhoun, AL","01015",0,612.35,"0000","0000",0,612.32,"0000","0000",0,610.96,"0000","0000",0,608.5,"0000","0000",0,608.46,"0000","0000",0,605.87,"0000","0000",0,3.85,"0000","0000",0,3.86,"0000","0000"
"11","Chambers, AL","01017",0,603.15,"0000","0000",0,603.11,"0000","0000",0,595.69,"0000","0000",0,597.4,"0000","0000",0,597.17,"0000","0000",0,596.53,"0000","0000",0,5.75,"0000","0000",0,5.94,"0000","0000"
"12","Cherokee, AL","01019",0,600,"0000","0000",0,599.95,"0000","0000",0,553.31,"0000","0000",0,553.17,"0000","0000",0,553.12,"0000","0000",0,553.7,"0000","0000",0,46.83,"0000","0000",0,46.83,"0000","0000"
"13","Chilton, AL","01021",0,700.8,"0000","0000",0,700.76,"0000","0000",0,694.51,"0000","0000",0,694.06,"0000","0000",0,693.98,"0000","0000",0,692.85,"0000","0000",0,6.74,"0000","0000",0,6.78,"0000","0000"
