"","BUYER_COUNTY","BUYER_STATE","countyfips","STATE","COUNTY","county_name","NAME","variable","year","population"
"1","AUTAUGA","AL","01001",1,1,"Autauga","Autauga County, Alabama","B01003_001",2006,51328
"2","BALDWIN","AL","01003",1,3,"Baldwin","Baldwin County, Alabama","B01003_001",2006,168121
"3","BARBOUR","AL","01005",1,5,"Barbour","Barbour County, Alabama","B01003_001",2006,27861
"4","BIBB","AL","01007",1,7,"Bibb","Bibb County, Alabama","B01003_001",2006,22099
"5","BLOUNT","AL","01009",1,9,"Blount","Blount County, Alabama","B01003_001",2006,55485
"6","BULLOCK","AL","01011",1,11,"Bullock","Bullock County, Alabama","B01003_001",2006,10776
"7","BUTLER","AL","01013",1,13,"Butler","Butler County, Alabama","B01003_001",2006,20815
"8","CALHOUN","AL","01015",1,15,"Calhoun","Calhoun County, Alabama","B01003_001",2006,115388
"9","CHAMBERS","AL","01017",1,17,"Chambers","Chambers County, Alabama","B01003_001",2006,34945
"10","CHEROKEE","AL","01019",1,19,"Cherokee","Cherokee County, Alabama","B01003_001",2006,25466
"11","CHILTON","AL","01021",1,21,"Chilton","Chilton County, Alabama","B01003_001",2006,42318
"12","CHOCTAW","AL","01023",1,23,"Choctaw","Choctaw County, Alabama","B01003_001",2006,14431
"13","CLARKE","AL","01025",1,25,"Clarke","Clarke County, Alabama","B01003_001",2006,26755
"14","CLAY","AL","01027",1,27,"Clay","Clay County, Alabama","B01003_001",2006,14053
"15","CLEBURNE","AL","01029",1,29,"Cleburne","Cleburne County, Alabama","B01003_001",2006,14538
"16","COFFEE","AL","01031",1,31,"Coffee","Coffee County, Alabama","B01003_001",2006,46228
"17","COLBERT","AL","01033",1,33,"Colbert","Colbert County, Alabama","B01003_001",2006,54413
"18","CONECUH","AL","01035",1,35,"Conecuh","Conecuh County, Alabama","B01003_001",2006,13603
"19","COOSA","AL","01037",1,37,"Coosa","Coosa County, Alabama","B01003_001",2006,11451
"20","COVINGTON","AL","01039",1,39,"Covington","Covington County, Alabama","B01003_001",2006,37441
"21","CRENSHAW","AL","01041",1,41,"Crenshaw","Crenshaw County, Alabama","B01003_001",2006,13880
"22","CULLMAN","AL","01043",1,43,"Cullman","Cullman County, Alabama","B01003_001",2006,79044
"23","DALE","AL","01045",1,45,"Dale","Dale County, Alabama","B01003_001",2006,49077
"24","DALLAS","AL","01047",1,47,"Dallas","Dallas County, Alabama","B01003_001",2006,44323
"25","DE KALB","AL","01049",1,49,"De Kalb","DeKalb County, Alabama","B01003_001",2006,68495
"26","ELMORE","AL","01051",1,51,"Elmore","Elmore County, Alabama","B01003_001",2006,75246
"27","ESCAMBIA","AL","01053",1,53,"Escambia","Escambia County, Alabama","B01003_001",2006,37673
"28","ETOWAH","AL","01055",1,55,"Etowah","Etowah County, Alabama","B01003_001",2006,103528
"29","FAYETTE","AL","01057",1,57,"Fayette","Fayette County, Alabama","B01003_001",2006,17767
"30","FRANKLIN","AL","01059",1,59,"Franklin","Franklin County, Alabama","B01003_001",2006,31134
"31","GENEVA","AL","01061",1,61,"Geneva","Geneva County, Alabama","B01003_001",2006,26271
"32","GREENE","AL","01063",1,63,"Greene","Greene County, Alabama","B01003_001",2006,9361
"33","HALE","AL","01065",1,65,"Hale","Hale County, Alabama","B01003_001",2006,16427
"34","HENRY","AL","01067",1,67,"Henry","Henry County, Alabama","B01003_001",2006,16953
"35","HOUSTON","AL","01069",1,69,"Houston","Houston County, Alabama","B01003_001",2006,95846
"36","JACKSON","AL","01071",1,71,"Jackson","Jackson County, Alabama","B01003_001",2006,53483
"37","JEFFERSON","AL","01073",1,73,"Jefferson","Jefferson County, Alabama","B01003_001",2006,655893
"38","LAMAR","AL","01075",1,75,"Lamar","Lamar County, Alabama","B01003_001",2006,14816
"39","LAUDERDALE","AL","01077",1,77,"Lauderdale","Lauderdale County, Alabama","B01003_001",2006,90294
"40","LAWRENCE","AL","01079",1,79,"Lawrence","Lawrence County, Alabama","B01003_001",2006,34028
"41","LEE","AL","01081",1,81,"Lee","Lee County, Alabama","B01003_001",2006,129247
"42","LIMESTONE","AL","01083",1,83,"Limestone","Limestone County, Alabama","B01003_001",2006,73651
"43","LOWNDES","AL","01085",1,85,"Lowndes","Lowndes County, Alabama","B01003_001",2006,12124
"44","MACON","AL","01087",1,87,"Macon","Macon County, Alabama","B01003_001",2006,22227
"45","MADISON","AL","01089",1,89,"Madison","Madison County, Alabama","B01003_001",2006,309170
"46","MARENGO","AL","01091",1,91,"Marengo","Marengo County, Alabama","B01003_001",2006,21531
"47","MARION","AL","01093",1,93,"Marion","Marion County, Alabama","B01003_001",2006,30779
"48","MARSHALL","AL","01095",1,95,"Marshall","Marshall County, Alabama","B01003_001",2006,88209
"49","MOBILE","AL","01097",1,97,"Mobile","Mobile County, Alabama","B01003_001",2006,402916
"50","MONROE","AL","01099",1,99,"Monroe","Monroe County, Alabama","B01003_001",2006,23602
"51","MONTGOMERY","AL","01101",1,101,"Montgomery","Montgomery County, Alabama","B01003_001",2006,227291
"52","MORGAN","AL","01103",1,103,"Morgan","Morgan County, Alabama","B01003_001",2006,115491
"53","PERRY","AL","01105",1,105,"Perry","Perry County, Alabama","B01003_001",2006,10677
"54","PICKENS","AL","01107",1,107,"Pickens","Pickens County, Alabama","B01003_001",2006,20128
